% X-coord,  Y-coord,  Polarization,  wavelength,  type, deviceID, params
8039,  5368,  TE,  1310,  FAVE, LukasChrostowskiw90h60
7759,  4860,  TE,  1310,  FAVE, LukasChrostowskiw100h80
8309,  5368,  TE,  1310,  FAVE, LukasChrostowskiw80h60
8569,  3069,  TE,  1550,  FAVE, LukasChrostowskiw70h90
8074,  4068,  TE,  1310,  FAVE, LukasChrostowskiGh90
7774,  4068,  TE,  1310,  FAVE, LukasChrostowskiGh100
8819,  5368,  TE,  1310,  FAVE, LukasChrostowskiw60h60
8569,  5114,  TE,  1310,  FAVE, LukasChrostowskiw70h70
8819,  5114,  TE,  1310,  FAVE, LukasChrostowskiw60h70
8819,  4352,  TE,  1310,  FAVE, LukasChrostowskiw60h100
7759,  5114,  TE,  1310,  FAVE, LukasChrostowskiw100h70
8819,  4860,  TE,  1310,  FAVE, LukasChrostowskiw60h80
7759,  4606,  TE,  1310,  FAVE, LukasChrostowskiw100h90
8569,  4352,  TE,  1310,  FAVE, LukasChrostowskiw70h100
8374,  4068,  TE,  1310,  FAVE, LukasChrostowskiGh80
8039,  4352,  TE,  1310,  FAVE, LukasChrostowskiw90h100
8569,  3831,  TE,  1550,  FAVE, LukasChrostowskiw70h60
8374,  2531,  TE,  1550,  FAVE, LukasChrostowskiGh80
8819,  3323,  TE,  1550,  FAVE, LukasChrostowskiw60h80
7774,  2531,  TE,  1550,  FAVE, LukasChrostowskiGh100
7759,  3831,  TE,  1550,  FAVE, LukasChrostowskiw100h60
8819,  4606,  TE,  1310,  FAVE, LukasChrostowskiw60h90
8309,  3831,  TE,  1550,  FAVE, LukasChrostowskiw80h60
8039,  3577,  TE,  1550,  FAVE, LukasChrostowskiw90h70
8819,  3069,  TE,  1550,  FAVE, LukasChrostowskiw60h90
8039,  4606,  TE,  1310,  FAVE, LukasChrostowskiw90h90
8819,  2815,  TE,  1550,  FAVE, LukasChrostowskiw60h100
8569,  3323,  TE,  1550,  FAVE, LukasChrostowskiw70h80
8309,  5114,  TE,  1310,  FAVE, LukasChrostowskiw80h70
8569,  5368,  TE,  1310,  FAVE, LukasChrostowskiw70h60
7759,  5368,  TE,  1310,  FAVE, LukasChrostowskiw100h60
7759,  3323,  TE,  1550,  FAVE, LukasChrostowskiw100h80
8039,  4860,  TE,  1310,  FAVE, LukasChrostowskiw90h80
8039,  5114,  TE,  1310,  FAVE, LukasChrostowskiw90h70
7759,  3577,  TE,  1550,  FAVE, LukasChrostowskiw100h70
8039,  3831,  TE,  1550,  FAVE, LukasChrostowskiw90h60
8569,  4860,  TE,  1310,  FAVE, LukasChrostowskiw70h80
8309,  4860,  TE,  1310,  FAVE, LukasChrostowskiw80h80
7759,  3069,  TE,  1550,  FAVE, LukasChrostowskiw100h90
7759,  2815,  TE,  1550,  FAVE, LukasChrostowskiw100h100
8674,  4068,  TE,  1310,  FAVE, LukasChrostowskiGh60
8819,  3831,  TE,  1550,  FAVE, LukasChrostowskiw60h60
8309,  3577,  TE,  1550,  FAVE, LukasChrostowskiw80h70
8074,  2531,  TE,  1550,  FAVE, LukasChrostowskiGh90
8039,  3069,  TE,  1550,  FAVE, LukasChrostowskiw90h90
8309,  3069,  TE,  1550,  FAVE, LukasChrostowskiw80h90
8309,  4352,  TE,  1310,  FAVE, LukasChrostowskiw80h100
7759,  4352,  TE,  1310,  FAVE, LukasChrostowskiw100h100
8039,  2815,  TE,  1550,  FAVE, LukasChrostowskiw90h100
8569,  4606,  TE,  1310,  FAVE, LukasChrostowskiw70h90
8569,  3577,  TE,  1550,  FAVE, LukasChrostowskiw70h70
8819,  3577,  TE,  1550,  FAVE, LukasChrostowskiw60h70
8039,  3323,  TE,  1550,  FAVE, LukasChrostowskiw90h80
8309,  2815,  TE,  1550,  FAVE, LukasChrostowskiw80h100
8569,  2815,  TE,  1550,  FAVE, LukasChrostowskiw70h100
8309,  3323,  TE,  1550,  FAVE, LukasChrostowskiw80h80
8674,  2531,  TE,  1550,  FAVE, LukasChrostowskiGh60
8309,  4606,  TE,  1310,  FAVE, LukasChrostowskiw80h90
2855,  1969,  TE,  1550,  device, bragg300N498nmPeriod800nmW120nmdW0Apo0
3555,  1969,  TE,  1550,  device, bragg300N486nmPeriod800nmW120nmdW0Apo0
3975,  1969,  TE,  1550,  device, bragg300N479nmPeriod800nmW120nmdW0Apo0
2715,  1969,  TE,  1550,  device, bragg300N501nmPeriod800nmW120nmdW0Apo0
2575,  1969,  TE,  1550,  device, bragg300N503nmPeriod800nmW120nmdW0Apo0
4395,  1969,  TE,  1550,  device, bragg300N472nmPeriod800nmW120nmdW0Apo0
4115,  1969,  TE,  1550,  device, bragg300N477nmPeriod800nmW120nmdW0Apo0
4535,  1969,  TE,  1550,  device, bragg300N470nmPeriod800nmW120nmdW0Apo0
3415,  1969,  TE,  1550,  device, bragg300N489nmPeriod800nmW120nmdW0Apo0
4255,  1969,  TE,  1550,  device, bragg300N474nmPeriod800nmW120nmdW0Apo0
3135,  1969,  TE,  1550,  device, bragg300N494nmPeriod800nmW120nmdW0Apo0
3275,  1969,  TE,  1550,  device, bragg300N491nmPeriod800nmW120nmdW0Apo0
3835,  1969,  TE,  1550,  device, bragg300N482nmPeriod800nmW120nmdW0Apo0
3695,  1969,  TE,  1550,  device, bragg300N484nmPeriod800nmW120nmdW0Apo0
2995,  1969,  TE,  1550,  device, bragg300N496nmPeriod800nmW120nmdW0Apo0
5098,  2338,  TE,  1550,  device, ringwide5450um
5098,  1957,  TE,  1550,  device, ringwide2454um
6769,  1957,  TE,  1550,  device, ringnarrow2454um
5098,  1576,  TE,  1550,  device, ringnarrow5450um
175,  466,  TE,  1550,  TEAlign, FarmLeftcomment
415,  593,  TE,  1550,  TEAlign, FarmRightcomment
545,  593,  TE,  1310,  TEAlign, FarmRightcomment
285,  466,  TE,  1550,  TEAlign, FarmMiddlecomment
8449,  8734,  TE,  1550,  TEAlign, FarmLeftcomment
8689,  8861,  TE,  1550,  TEAlign, FarmRightcomment
8819,  8861,  TE,  1310,  TEAlign, FarmRightcomment
8559,  8734,  TE,  1550,  TEAlign, FarmMiddlecomment
1449,  1606,  TE,  1550,  PCM, PCMStraightWGloss52786TE
597,  1676,  TE,  1550,  PCM, PCMStraightWGloss27786TE
597,  1422,  TE,  1550,  PCM, PCMStraightWGloss17786TE
597,  1168,  TE,  1550,  PCM, PCMStraightWGloss84786TE
1250,  1382,  TE,  1550,  PCM, PCMStraightWGloss62786TE
8391,  1776,  TE,  1550,  device, AFFAVEcomment
1202,  731,  TE,  1550,  PCM, PCMStraightWGloss62786TE
749,  731,  TE,  1550,  PCM, PCMStraightWGloss17786TE
1401,  955,  TE,  1550,  PCM, PCMStraightWGloss52786TE
749,  955,  TE,  1550,  PCM, PCMStraightWGloss27786TE
749,  507,  TE,  1550,  PCM, PCMStraightWGloss84786TE
8608,  619,  TE,  1550,  FAVE, TEAlignFarmLeft
427,  820,  TE,  1550,  FAVE, TEAlignFarmLeft
8806,  8507,  TE,  1550,  FAVE, TEAlignFarmLeft
904,  8596,  TE,  1550,  FAVE, TEAlignFarmLeft
8449,  265,  TE,  1550,  TEAlign, FarmLeftcomment
8689,  392,  TE,  1550,  TEAlign, FarmRightcomment
8819,  392,  TE,  1310,  TEAlign, FarmRightcomment
8559,  265,  TE,  1550,  TEAlign, FarmMiddlecomment
185,  8533,  TE,  1550,  TEAlign, FarmLeftcomment
425,  8660,  TE,  1550,  TEAlign, FarmRightcomment
555,  8660,  TE,  1310,  TEAlign, FarmRightcomment
295,  8533,  TE,  1550,  TEAlign, FarmMiddlecomment
8890,  8248,  TE,  1550,  FaML, loopbackcomment
8890,  7994,  TE,  1550,  FaML, loopbackcomment
8890,  7740,  TE,  1550,  FaML, loopbackcomment
8890,  7486,  TE,  1550,  FaML, loopbackcomment
8890,  7232,  TE,  1550,  FaML, loopbackcomment
8890,  6978,  TE,  1550,  FaML, loopbackcomment
8890,  6724,  TE,  1550,  FaML, loopbackcomment
8890,  6470,  TE,  1550,  FaML, loopbackcomment
8890,  6216,  TE,  1550,  FaML, loopbackcomment
8890,  5962,  TE,  1550,  FaML, loopbackcomment
8890,  5708,  TE,  1550,  FaML, loopbackcomment
4867,  630,  TE,  1550,  device, DCLength0p00um
4217,  630,  TE,  1550,  device, DCLength18p00um
4607,  630,  TE,  1550,  device, DCLength7p20um
4347,  630,  TE,  1550,  device, DCLength14p40um
4477,  630,  TE,  1550,  device, DCLength10p80um
4737,  630,  TE,  1550,  device, DCLength3p60um
5321,  1211,  TE,  1550,  device, ringwide5450um
5321,  830,  TE,  1550,  device, ringwide2454um
6993,  830,  TE,  1550,  device, ringnarrow2454um
5321,  449,  TE,  1550,  device, ringnarrow5450um
2609,  1604,  TE,  1310,  PCM, PCMStraightWGloss33006TE
2609,  1272,  TE,  1310,  PCM, PCMStraightWGloss108006TE
3427,  1604,  TE,  1310,  PCM, PCMStraightWGloss66006TE
2576,  341,  TE,  1550,  device, cutbackebeamdreamsplitter1x2sinte1550N0
2578,  685,  TE,  1550,  device, cutbackebeamdreamsplitter1x2sinte1550N288
2966,  341,  TE,  1550,  device, cutbackebeamdreamsplitter1x2sinte1550N64
3432,  341,  TE,  1550,  device, cutbackebeamdreamsplitter1x2sinte1550N160
7707,  7808,  TE,  1550,  FAVE, ring7501100danteprins
7707,  7417,  TE,  1550,  FAVE, dc850danteprins
1873,  1973,  TE,  1550,  openEBL, snewmanSiNMRRA504R020umgap0120nmwWG0p75
1724,  1973,  TE,  1550,  openEBL, snewmanSiNMRRA503R015umgap0120nmwWG0p75
1491,  1782,  TE,  1550,  openEBL, snewmanSiNMRRA505R030umgap0120nmwWG0p75
1607,  1973,  TE,  1550,  openEBL, snewmanSiNMRRA502R010umgap0120nmwWG0p75
1670,  1782,  TE,  1550,  openEBL, snewmanSiNMRRA506R040umgap0120nmwWG0p75
1491,  1973,  TE,  1550,  openEBL, snewmanSiNMRRA501R005umgap0120nmwWG0p75
1868,  1782,  TE,  1550,  openEBL, snewmanSiNMRRA507R050umgap0120nmwWG0p75
7707,  6269,  TE,  1550,  openEBL, snewmanSiNCDCB052xGapgap0p56umw10p66umw2Input0p84um
7391,  6247,  TE,  1550,  openEBL, snewmanSiNDCA07coupLen40umgap600nmwWG0p75bendRadius50um
7108,  6247,  TE,  1550,  openEBL, snewmanSiNDCA05coupLen30umgap600nmwWG0p75bendRadius50um
6826,  6247,  TE,  1550,  openEBL, snewmanSiNDCA03coupLen20umgap600nmwWG0p75bendRadius50um
6684,  6247,  TE,  1550,  openEBL, snewmanSiNDCA02coupLen15umgap600nmwWG0p75bendRadius50um
6967,  6247,  TE,  1550,  openEBL, snewmanSiNDCA04coupLen25umgap600nmwWG0p75bendRadius50um
7249,  6247,  TE,  1550,  openEBL, snewmanSiNDCA06coupLen35umgap600nmwWG0p75bendRadius50um
6543,  6247,  TE,  1550,  openEBL, snewmanSiNDCA01coupLen10umgap600nmwWG0p75bendRadius50um
6908,  7693,  TE,  1550,  openEBL, snewmanSiNMRRA407R050umgap0350nmwWG0p75
6531,  7693,  TE,  1550,  openEBL, snewmanSiNMRRA405R030umgap0350nmwWG0p75
6710,  7693,  TE,  1550,  openEBL, snewmanSiNMRRA406R040umgap0350nmwWG0p75
6764,  7884,  TE,  1550,  openEBL, snewmanSiNMRRA403R015umgap0350nmwWG0p75
6913,  7884,  TE,  1550,  openEBL, snewmanSiNMRRA404R020umgap0350nmwWG0p75
6647,  7884,  TE,  1550,  openEBL, snewmanSiNMRRA402R010umgap0350nmwWG0p75
6531,  7884,  TE,  1550,  openEBL, snewmanSiNMRRA401R005umgap0350nmwWG0p75
7138,  7919,  TE,  1550,  openEBL, snewmanSiNDCA14coupLen75umgap600nmwWG0p75bendRadius50um
1119,  7487,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed08
999,  7487,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed07
1119,  7701,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed03
1359,  7487,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed10
999,  7701,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed02
879,  7701,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed01
1239,  7701,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed04
1239,  7487,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed09
1359,  7701,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed05
879,  7487,  TE,  1310,  openEBL, snewmanGCBSiNGCADeembed06
6531,  7466,  TE,  1550,  openEBL, snewmanSiNMRRA301R005umgap0600nmwWG0p75
6764,  7466,  TE,  1550,  openEBL, snewmanSiNMRRA303R015umgap0600nmwWG0p75
6647,  7466,  TE,  1550,  openEBL, snewmanSiNMRRA302R010umgap0600nmwWG0p75
6913,  7466,  TE,  1550,  openEBL, snewmanSiNMRRA304R020umgap0600nmwWG0p75
6908,  7275,  TE,  1550,  openEBL, snewmanSiNMRRA307R050umgap0600nmwWG0p75
6710,  7275,  TE,  1550,  openEBL, snewmanSiNMRRA306R040umgap0600nmwWG0p75
7138,  7501,  TE,  1550,  openEBL, snewmanSiNDCA12coupLen65umgap600nmwWG0p75bendRadius50um
6531,  7275,  TE,  1550,  openEBL, snewmanSiNMRRA305R030umgap0600nmwWG0p75
7280,  7501,  TE,  1550,  openEBL, snewmanSiNDCA13coupLen70umgap600nmwWG0p75bendRadius50um
7707,  8643,  TE,  1550,  FAVE, ring8501100danteprins
6531,  6439,  TE,  1550,  openEBL, snewmanSiNMRRA105R030umgap1100nmwWG0p75
6710,  6439,  TE,  1550,  openEBL, snewmanSiNMRRA106R040umgap1100nmwWG0p75
6647,  6630,  TE,  1550,  openEBL, snewmanSiNMRRA102R010umgap1100nmwWG0p75
6764,  6630,  TE,  1550,  openEBL, snewmanSiNMRRA103R015umgap1100nmwWG0p75
6913,  6630,  TE,  1550,  openEBL, snewmanSiNMRRA104R020umgap1100nmwWG0p75
6531,  6630,  TE,  1550,  openEBL, snewmanSiNMRRA101R005umgap1100nmwWG0p75
7138,  6665,  TE,  1550,  openEBL, snewmanSiNDCA08coupLen45umgap600nmwWG0p75bendRadius50um
6908,  6439,  TE,  1550,  openEBL, snewmanSiNMRRA107R050umgap1100nmwWG0p75
7280,  6665,  TE,  1550,  openEBL, snewmanSiNDCA09coupLen50umgap600nmwWG0p75bendRadius50um
882,  3958,  TE,  1550,  openEBL, snewmanSiNCROWA05R150p0umR249p90gap0500nmwWG0p75
1178,  3958,  TE,  1550,  openEBL, snewmanSiNCROWA06R150p0umR249p98gap0500nmwWG0p75
6527,  5805,  TE,  1550,  openEBL, snewmanSiNCDCB091p5xGapgap0p42um
7204,  5815,  TE,  1550,  openEBL, snewmanSiNCDCB102xGapgap0p56um2xcorrugation0p25um0p25um
7331,  5829,  TE,  1550,  openEBL, snewmanSiNCROSSA04ellipticalTaperSingleEtchwidth0p75umr110umr21p5umw1p25umL10umR
6542,  5164,  TE,  1550,  openEBL, snewmanSiNCDCB07baseline2stage
7234,  5404,  TE,  1550,  openEBL, snewmanSiNCDCB082xApodConst5p6
6527,  4969,  TE,  1550,  openEBL, snewmanSiNCDCB052xGapgap0p56umw10p66umw2Input0p84um
7204,  4979,  TE,  1550,  openEBL, snewmanSiNCDCB062xGapgap0p56umw10p84umw2Input0p66um
7331,  4993,  TE,  1550,  openEBL, snewmanSiNCROSSA03ebeamcrossing4scaled1p5XvsSiR
6531,  6857,  TE,  1550,  openEBL, snewmanSiNMRRA205R030umgap0850nmwWG0p75
6710,  6857,  TE,  1550,  openEBL, snewmanSiNMRRA206R040umgap0850nmwWG0p75
6647,  7048,  TE,  1550,  openEBL, snewmanSiNMRRA202R010umgap0850nmwWG0p75
6531,  7048,  TE,  1550,  openEBL, snewmanSiNMRRA201R005umgap0850nmwWG0p75
6764,  7048,  TE,  1550,  openEBL, snewmanSiNMRRA203R015umgap0850nmwWG0p75
7138,  7083,  TE,  1550,  openEBL, snewmanSiNDCA10coupLen55umgap600nmwWG0p75bendRadius50um
6913,  7048,  TE,  1550,  openEBL, snewmanSiNMRRA204R020umgap0850nmwWG0p75
6908,  6857,  TE,  1550,  openEBL, snewmanSiNMRRA207R050umgap0850nmwWG0p75
7280,  7083,  TE,  1550,  openEBL, snewmanSiNDCA11coupLen60umgap600nmwWG0p75bendRadius50um
7204,  4143,  TE,  1550,  openEBL, snewmanSiNCDCB022xGapgap0p56um
7331,  4157,  TE,  1550,  openEBL, snewmanSiNCROSSA01ebeamcrossing4scaled1p5XvsSi
6527,  4133,  TE,  1550,  openEBL, snewmanSiNCDCB01baseline
7707,  8226,  TE,  1550,  FAVE, ring8001100danteprins
1727,  2618,  TE,  1550,  openEBL, snewmanSiNMRRC04R25umgap0500nmwWG0p75
1924,  2816,  TE,  1550,  openEBL, snewmanSiNMRRC05R25umgap0300nmwWG0p75
1727,  2816,  TE,  1550,  openEBL, snewmanSiNMRRC03R25umgap700nmwWG0p75
1488,  2618,  TE,  1550,  openEBL, snewmanSiNMRRB06R50umgap0120nmwWG0p75
1488,  2816,  TE,  1550,  openEBL, snewmanSiNMRRB05R50umgap0300nmwWG0p75
1924,  2618,  TE,  1550,  openEBL, snewmanSiNMRRC06R25umgap0120nmwWG0p75
7707,  6635,  TE,  1550,  FAVE, dc750danteprins
882,  3540,  TE,  1550,  openEBL, snewmanSiNCROWA03R150p0umR250p20gap0500nmwWG0p75
1178,  3540,  TE,  1550,  openEBL, snewmanSiNCROWA04R150p0umR249p8gap0500nmwWG0p75
1178,  4794,  TE,  1550,  openEBL, snewmanSiNCROWA10R150p0umR250p00gap0500nmwWG0p75R
882,  4794,  TE,  1550,  openEBL, snewmanSiNCROWA09R150p0umR250p02gap0500nmwWG0p75
879,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed01
1119,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed03
999,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed02
1239,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed04
1359,  8119,  TE,  1550,  openEBL, snewmanSiNGCADeembed05
879,  7905,  TE,  1550,  openEBL, snewmanSiNGCADeembed06
1359,  7905,  TE,  1550,  openEBL, snewmanSiNGCADeembed10
999,  7905,  TE,  1550,  openEBL, snewmanSiNGCADeembed07
